(15, 21)
(26, 21)
(38, 23)
(7, 17)
(18, 17)
(18, 26)
(7, 26)
(27, 4)
(8, 0)
(19, 0)
(27, 13)
(30, 0)
(8, 9)
(19, 9)
(30, 9)
(0, 5)
(11, 5)
(8, 18)
(19, 18)
(30, 18)
(11, 14)
(0, 14)
(11, 23)
(0, 23)
(33, 20)
(10, 27)
(33, 29)
(25, 25)
(4, 2)
(34, 3)
(22, 10)
(34, 12)
(3, 6)
(37, 8)
(22, 19)
(34, 21)
(3, 15)
(14, 15)
(22, 28)
(37, 17)
(14, 24)
(3, 24)
(15, 7)
(26, 7)
(38, 9)
(7, 3)
(18, 3)
(15, 16)
(26, 16)
(38, 18)
(7, 12)
(18, 12)
(15, 25)
(26, 25)
(7, 21)
(18, 21)
(27, 8)
(29, 27)
(8, 4)
(19, 4)
(30, 4)
(0, 0)
(11, 0)
(30, 13)
(11, 9)
(0, 9)
(33, 6)
(32, 23)
(33, 15)
(25, 11)
(10, 22)
(33, 24)
(25, 20)
(25, 29)
(2, 27)
(22, 5)
(34, 7)
(3, 1)
(14, 1)
(22, 14)
(34, 16)
(37, 3)
(3, 10)
(14, 10)
(22, 23)
(37, 12)
(34, 25)
(14, 19)
(3, 19)
(37, 21)
(14, 28)
(3, 28)
(15, 2)
(26, 2)
(38, 4)
(15, 11)
(26, 11)
(7, 7)
(18, 7)
(26, 20)
(7, 16)
(18, 16)
(29, 13)
(29, 22)
(21, 18)
(6, 29)
(21, 27)
(11, 4)
(33, 1)
(10, 8)
(33, 10)
(25, 6)
(10, 17)
(33, 19)
(2, 13)
(25, 15)
(10, 26)
(33, 28)
(2, 22)
(25, 24)
(22, 0)
(34, 2)
(22, 9)
(34, 11)
(3, 5)
(14, 5)
(22, 18)
(37, 7)
(3, 14)
(14, 14)
(22, 27)
(37, 16)
(14, 23)
(3, 23)
(36, 29)
(15, 6)
(26, 6)
(17, 25)
(7, 2)
(18, 2)
(28, 25)
(7, 11)
(18, 11)
(29, 8)
(6, 15)
(29, 17)
(21, 13)
(6, 24)
(29, 26)
(21, 22)
(10, 3)
(33, 5)
(25, 1)
(10, 12)
(33, 14)
(2, 8)
(25, 10)
(10, 21)
(33, 23)
(2, 17)
(25, 19)
(25, 28)
(2, 26)
(22, 4)
(34, 6)
(3, 0)
(14, 0)
(22, 13)
(37, 2)
(3, 9)
(14, 9)
(37, 11)
(14, 18)
(3, 18)
(36, 15)
(36, 24)
(26, 1)
(17, 20)
(28, 20)
(17, 29)
(28, 29)
(5, 27)
(9, 25)
(29, 3)
(6, 10)
(29, 12)
(21, 8)
(6, 19)
(29, 21)
(21, 17)
(6, 28)
(21, 26)
(33, 0)
(10, 7)
(33, 9)
(2, 3)
(25, 5)
(10, 16)
(33, 18)
(2, 12)
(25, 14)
(10, 25)
(2, 21)
(32, 22)
(22, 8)
(13, 27)
(24, 27)
(3, 4)
(14, 4)
(35, 27)
(36, 1)
(36, 10)
(17, 6)
(28, 6)
(36, 19)
(17, 15)
(28, 15)
(36, 28)
(9, 11)
(17, 24)
(5, 22)
(28, 24)
(9, 20)
(9, 29)
(6, 5)
(29, 7)
(21, 3)
(6, 14)
(29, 16)
(21, 12)
(6, 23)
(29, 25)
(21, 21)
(39, 29)
(10, 2)
(33, 4)
(25, 0)
(10, 11)
(2, 7)
(25, 9)
(32, 8)
(2, 16)
(32, 17)
(13, 13)
(24, 13)
(32, 26)
(13, 22)
(24, 22)
(35, 22)
(16, 18)
(1, 29)
(16, 27)
(36, 5)
(17, 1)
(28, 1)
(36, 14)
(17, 10)
(5, 8)
(28, 10)
(9, 6)
(36, 23)
(5, 17)
(17, 19)
(28, 19)
(9, 15)
(5, 26)
(17, 28)
(28, 28)
(9, 24)
(6, 0)
(29, 2)
(6, 9)
(29, 11)
(21, 7)
(6, 18)
(21, 16)
(39, 24)
(20, 20)
(20, 29)
(31, 29)
(10, 6)
(12, 25)
(23, 25)
(2, 2)
(32, 3)
(2, 11)
(32, 12)
(13, 8)
(24, 8)
(35, 8)
(32, 21)
(13, 17)
(1, 15)
(24, 17)
(16, 13)
(35, 17)
(13, 26)
(1, 24)
(24, 26)
(16, 22)
(35, 26)
(36, 0)
(36, 9)
(5, 3)
(17, 5)
(28, 5)
(9, 1)
(36, 18)
(5, 12)
(17, 14)
(28, 14)
(9, 10)
(17, 23)
(5, 21)
(28, 23)
(9, 19)
(9, 28)
(6, 4)
(29, 6)
(21, 2)
(6, 13)
(39, 10)
(39, 19)
(20, 15)
(31, 15)
(39, 28)
(20, 24)
(31, 24)
(12, 20)
(23, 20)
(23, 29)
(12, 29)
(4, 25)
(32, 7)
(13, 3)
(24, 3)
(32, 16)
(35, 3)
(1, 10)
(13, 12)
(24, 12)
(16, 8)
(35, 12)
(1, 19)
(13, 21)
(24, 21)
(16, 17)
(32, 25)
(1, 28)
(35, 21)
(16, 26)
(36, 4)
(17, 0)
(28, 0)
(36, 13)
(5, 7)
(17, 9)
(28, 9)
(9, 5)
(5, 16)
(28, 18)
(9, 14)
(5, 25)
(27, 22)
(8, 27)
(19, 27)
(30, 27)
(39, 5)
(20, 1)
(31, 1)
(39, 14)
(20, 10)
(31, 10)
(39, 23)
(12, 6)
(23, 6)
(20, 19)
(31, 19)
(12, 15)
(23, 15)
(20, 28)
(4, 11)
(31, 28)
(12, 24)
(23, 24)
(4, 20)
(32, 2)
(32, 11)
(4, 29)
(1, 5)
(13, 7)
(24, 7)
(16, 3)
(32, 20)
(13, 16)
(1, 14)
(24, 16)
(16, 12)
(35, 7)
(1, 23)
(24, 25)
(35, 16)
(16, 21)
(35, 25)
(35, 14)
(5, 2)
(17, 4)
(28, 4)
(9, 0)
(5, 11)
(9, 9)
(27, 17)
(8, 13)
(19, 13)
(27, 26)
(8, 22)
(19, 22)
(30, 22)
(11, 18)
(0, 18)
(11, 27)
(0, 27)
(39, 9)
(20, 5)
(31, 5)
(39, 18)
(12, 1)
(23, 1)
(20, 14)
(31, 14)
(39, 27)
(12, 10)
(23, 10)
(20, 23)
(4, 6)
(31, 23)
(12, 19)
(23, 19)
(4, 15)
(12, 28)
(23, 28)
(4, 24)
(32, 6)
(1, 0)
(13, 2)
(24, 2)
(35, 2)
(1, 9)
(13, 11)
