(7, 17)
(27, 4)
(50, 6)
(42, 2)
(42, 11)
(0, 5)
(11, 5)
(52, 15)
(52, 24)
(53, 7)
(45, 3)
(34, 12)
(53, 25)
(37, 8)
(46, 4)
(38, 0)
(49, 0)
(46, 13)
(38, 9)
(49, 9)
(26, 16)
(30, 4)
(0, 0)
(11, 0)
(41, 1)
(11, 9)
(41, 10)
(52, 10)
(33, 6)
(52, 28)
(53, 2)
(53, 11)
(34, 7)
(45, 7)
(53, 20)
(14, 1)
(37, 3)
(22, 14)
(3, 10)
(15, 2)
(38, 4)
(49, 4)
(7, 16)
(11, 4)
(41, 5)
(52, 5)
(33, 1)
(44, 1)
(52, 14)
(52, 23)
(25, 6)
(25, 15)
(53, 6)
(45, 2)
(34, 11)
(45, 11)
(37, 7)
(48, 3)
(48, 12)
(40, 8)
(21, 13)
(41, 0)
(52, 0)
(41, 9)
(52, 9)
(33, 5)
(44, 5)
(10, 12)
(52, 27)
(25, 10)
(53, 1)
(34, 6)
(45, 6)
(37, 2)
(22, 13)
(3, 9)
(36, 15)
(47, 15)
(48, 7)
(29, 3)
(40, 3)
(48, 16)
(40, 12)
(41, 4)
(52, 4)
(44, 0)
(44, 9)
(2, 3)
(25, 5)
(10, 16)
(25, 14)
(51, 26)
(36, 1)
(36, 10)
(47, 10)
(17, 6)
(9, 11)
(48, 2)
(48, 11)
(40, 7)
(6, 14)
(33, 4)
(44, 4)
(10, 11)
(25, 9)
(24, 13)
(36, 5)
(47, 5)
(36, 14)
(47, 14)
(17, 10)
(48, 6)
(40, 2)
(40, 11)
(54, 22)
(54, 31)
(51, 7)
(32, 3)
(43, 3)
(51, 25)
(35, 8)
(36, 0)
(47, 0)
(36, 9)
(47, 9)
(17, 5)
(48, 1)
(40, 6)
(39, 10)
(54, 8)
(51, 2)
(51, 11)
(43, 7)
(13, 3)
(35, 3)
(51, 29)
(24, 12)
(35, 12)
(36, 4)
(47, 4)
(36, 13)
(47, 13)
(17, 9)
(9, 14)
(50, 15)
(50, 24)
(39, 5)
(31, 1)
(54, 3)
(39, 14)
(20, 10)
(54, 12)
(4, 11)
(51, 6)
(32, 2)
(43, 2)
(43, 11)
(1, 5)
(35, 7)
(16, 3)
(24, 16)
(50, 1)
(50, 10)
(42, 6)
(39, 0)
(39, 9)
(54, 7)
(12, 1)
(12, 10)
(54, 25)
(51, 1)
(51, 10)
(53, 29)
(43, 6)
(13, 2)
(35, 2)
