(15, 21)
(18, 17)
(18, 26)
(8, 0)
(27, 13)
(8, 9)
(19, 9)
(11, 5)
(19, 18)
(11, 14)
(33, 20)
(33, 29)
(25, 25)
(4, 2)
(22, 10)
(22, 19)
(14, 15)
(22, 28)
(37, 26)
(7, 3)
(18, 3)
(15, 16)
(7, 12)
(18, 12)
(26, 25)
(18, 21)
(8, 4)
(19, 4)
(0, 0)
(11, 0)
(11, 9)
(33, 24)
(44, 24)
(25, 20)
(25, 29)
(3, 1)
(14, 1)
(22, 14)
(14, 10)
(22, 23)
(34, 25)
(45, 25)
(14, 19)
(37, 21)
(37, 30)
(15, 2)
(15, 11)
(7, 7)
(18, 7)
(26, 20)
(18, 16)
(48, 26)
(40, 22)
(21, 18)
(29, 31)
(21, 27)
(11, 4)
(10, 8)
(41, 23)
(33, 19)
(33, 28)
(25, 24)
(3, 5)
(14, 5)
(22, 18)
(14, 14)
(22, 27)
(28, 25)
(17, 25)
(7, 2)
(18, 2)
(7, 11)
(21, 13)
(29, 26)
(21, 22)
(10, 3)
(33, 23)
(25, 19)
(51, 31)
(25, 28)
(3, 0)
(22, 13)
(14, 9)
(14, 18)
(36, 24)
(17, 20)
(28, 29)
(29, 30)
(21, 26)
(10, 7)
(2, 3)
(32, 22)
(32, 31)
(24, 27)
(14, 4)
(3, 4)
(17, 6)
(36, 19)
(17, 15)
(28, 15)
(9, 11)
(17, 24)
(28, 24)
(6, 5)
(29, 16)
(21, 12)
(29, 25)
(21, 21)
(10, 2)
(10, 11)
(32, 17)
(51, 30)
(13, 13)
(32, 26)
(43, 26)
(24, 22)
(35, 22)
(16, 18)
(35, 31)
(17, 1)
(17, 10)
(5, 8)
(36, 23)
(9, 6)
(17, 19)
(28, 28)
(6, 0)
(6, 9)
(20, 20)
(31, 29)
(54, 31)
(10, 6)
(23, 25)
(13, 8)
(32, 21)
(13, 17)
(35, 17)
(32, 30)
(16, 13)
(24, 26)
(35, 26)
(16, 22)
(17, 5)
(36, 18)
(9, 1)
(17, 14)
(28, 14)
(47, 27)
(9, 10)
(17, 23)
(50, 29)
(6, 4)
(42, 25)
(20, 24)
(23, 20)
(13, 3)
(32, 16)
(51, 29)
(13, 12)
(24, 12)
(32, 25)
(16, 8)
(43, 25)
(24, 21)
(13, 21)
(35, 21)
(16, 17)
(35, 30)
(46, 27)
(5, 7)
(17, 9)
(9, 5)
(9, 14)
(27, 31)
(30, 27)
(12, 6)
(20, 19)
(31, 19)
(12, 15)
(23, 15)
(31, 28)
(23, 24)
(13, 7)
(32, 20)
(16, 3)
(13, 16)
(16, 12)
(24, 25)
(35, 25)
(16, 21)
(38, 27)
(49, 27)
(5, 2)
(17, 4)
(9, 0)
(5, 11)
(9, 9)
(8, 13)
(50, 28)
(19, 22)
(42, 24)
(30, 31)
(12, 1)
(12, 10)
(23, 10)
(20, 23)
(23, 19)
(23, 28)
(1, 0)
(13, 2)
(13, 11)
(16, 7)
(16, 16)
(46, 26)
(15, 20)
(38, 22)
(26, 29)
(38, 31)
(5, 6)
(18, 8)
(27, 12)
(8, 8)
(19, 17)
(30, 17)
(27, 30)
(11, 13)
(30, 26)
(20, 9)
(39, 22)
(12, 5)
(20, 18)
(4, 1)
(31, 18)
(12, 14)
(4, 10)
(23, 23)
(34, 20)
(37, 25)
(16, 2)
(15, 15)
(26, 24)
(15, 24)
(38, 26)
(18, 20)
(49, 26)
(8, 3)
(19, 3)
(27, 16)
(27, 25)
(11, 8)
(19, 21)
(42, 23)
(30, 30)
(12, 0)
(12, 9)
(4, 5)
(23, 18)
(34, 24)
(45, 24)
(15, 1)
(15, 10)
(7, 6)
(18, 6)
(38, 21)
(18, 15)
(38, 30)
(27, 20)
